,date,username,to,replies,retweets,favorites,text,classification,geo,mentions,hashtags,id,permalink,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20
59209,7/1/13 0:11,Diego_Pelayo,,2,26,1,Lo que disparÃ³ la policÃ­a durante la final #MaracanÃ£ #ProtestoRJ #Brazil #CopaConfederaciones #CopaDelMundo2014pic.twitter.com/CxsRgJeaW7,Negativo,,,#MaracanÃ£ #ProtestoRJ #Brazil #CopaConfederaciones #CopaDelMundo2014pic,"3,51E+17",https://twitter.com/Diego_Pelayo/status/351493101963059201,,,,,,,,
10702,7/17/13 23:20,wizardofgore,,0,2,0,"Manifestantes aumentam no #OcupaCabral. Leblon, libere seu wifi e #vemprarua, para o #protestorj.",Positivo,,,#OcupaCabral #vemprarua #protestorj,"3,58E+17",https://twitter.com/wizardofgore/status/357641002116321281,,,,,,,,
1005,7/29/13 23:56,Juliaa_er,,0,0,0,Kaya SIWON SUPER JUNIOR! Yg perutnya kotak2..hahaha RT @ZenithSalatiga: Tipe cowo / cewe yang kamu suka seperti apa ? #MPL,Indefinido,,@ZenithSalatiga,#MPL,"3,62E+17",https://twitter.com/Juliaa_er/status/361998655500197888,,,,,,,,
40339,7/31/13 0:39,CPNews_blog,,0,0,0,"Esse mundo tÃ¡ mesmo perdido, tÃ¡ parecendo fim do mundo essas manifestaÃ§Ãµes em SP e RJ.... #MudaBrasil !",Negativo,,,#MudaBrasil,"3,62E+17",https://twitter.com/CPNews_blog/status/362371993556881411,,,,,,,,
27091,7/5/13 19:14,DontComeToBrazi,,0,2,0,"#AcordaDeNovoBrasil #VemPraRua #ChangeBrazil nÃ£o vamos voltar Ã  zona de conforto, 53% dos royalties para a educaÃ§Ã£o jÃ¡ nos foram cortados",Negativo,,,#AcordaDeNovoBrasil #VemPraRua #ChangeBrazil,"3,53E+17",https://twitter.com/DontComeToBrazi/status/353230458672259072,,,,,,,,
27758,7/5/13 12:32,dgigialira,,0,0,0,VAMOS COBRAR HONESTIDADE EM TODOS OS SETORES DA SOCIEDADE ! #vemprarua,Positivo,,,#vemprarua,"3,53E+17",https://twitter.com/dgigialira/status/353129196526108678,,,,,,,,
21678,7/10/13 1:11,ohleths,OOCharlotte,2,0,0,"@Banhuda_ @onerockvato @smaiuolo @dayannasj #vemprarua ops, nÃ£o #vemprovibe kkkkkkkkk",Indefinido,,@Banhuda_ @onerockvato @smaiuolo @dayannasj,#vemprarua #vemprovibe,"3,55E+17",https://twitter.com/ohleths/status/354769722107101184,,,,,,,,
46132,7/20/13 6:06,MhtYumru,,0,0,0,"#Protesto her dÃ¶nem,her zaman olur.Ãœzerine alÄ±nma.Ãœlkemi daha nasÄ±l #demokrasi nin beÅŸiÄŸi yaparÄ±m diye dÃ¼ÅŸÃ¼n. #ileridemokrasi deÄŸil ha!",Indefinido,,,#Protesto #demokrasi #ileridemokrasi,"3,58E+17",https://twitter.com/MhtYumru/status/358468016813514754,,,,,,,,
56416,7/3/13 3:34,BlogDoTato67,,0,2,0,"#Saindo com a deixa da noite: ""O PT, sÃ³ Fraude explica: pic.twitter.com/MPyr3ULAan"" via @galamastoide #MudaBrasil #ForaPT #BoaNoite Fui.",Negativo,,@galamastoide,#Saindo #MudaBrasil #ForaPT #BoaNoite,"3,52E+17",https://twitter.com/BlogDoTato67/status/352269204960972802,,,,,,,,
47827,7/17/13 19:26,LincolnNery1,,0,0,0,"GRANDE ATO, PAPA VEJA COMO SOMOS TRATADOS - http://lincnery.blogspot.com.br/2013/07/grande-ato-papa-veja-como-somos-tratados.html â€¦ #protestorj",Negativo,,,#protestorj,"3,58E+17",https://twitter.com/LincolnNery1/status/357582176746872833,,,,,,,,
30818,7/3/13 22:53,MarciaPsy,,0,0,0,EngraÃ§ado.... #GloboNews nÃ£o vai mostrar????? #VemPraRua http://fb.me/2neuTYBy2,Negativo,,,#GloboNews #VemPraRua,"3,53E+17",https://twitter.com/MarciaPsy/status/352560826755981313,,,,,,,,
58615,7/1/13 2:02,misojosxelmundo,,0,2,0,"#Brazil #ProtestoRJ En lo que va de manifestaciones y represiones en RÃ­o, Ã©ste es el segundo dÃ­a con la represiÃ³n mÃ¡s violenta. #Brasil",Indefinido,,,#Brazil #ProtestoRJ #Brasil,"3,52E+17",https://twitter.com/misojosxelmundo/status/351521058404319232,,,,,,,,
10023,7/18/13 12:50,venilsonl2,,0,0,0,ConsideraÃ§Ã£o 3: ParabÃ©ns ao povo do Rio de Janeiro que atacou ontem a globo! Eu apoio totalmente #OGiganteAcordou #ChangeBrazil #VamosMudar,Negativo,,,#OGiganteAcordou #ChangeBrazil #VamosMudar,"3,58E+17",https://twitter.com/venilsonl2/status/357844782808170496,,,,,,,,
44910,7/23/13 1:02,oan_max_ik,,0,0,0,"O Triste Fim de ZINGUIST, THE BEGGAR, no Frio de Porto Alegre http://razzendresss.blogspot.com/2012/10/zinguist-beggar.html?spref=tw â€¦ #ChangeBrazil JMJ Papa Laranjeiras POA Papa #ProtestoRJ",Negativo,,,#ChangeBrazil #ProtestoRJ,"3,59E+17",https://twitter.com/oan_max_ik/status/359478634270031872,,,,,,,,
36686,7/1/13 19:50,luccasphoto,,0,0,0,#VemPraRua DivinÃ³polis http://instagram.com/p/bPFVoIgZAP/,Indefinido,,,#VemPraRua,"3,52E+17",https://twitter.com/luccasphoto/status/351789925659717632,,,,,,,,
38810,7/1/13 1:45,vandersonmaia,,0,0,0,#VemPraRua #ProtestoAnimal http://fb.me/FbxATC0n,Indefinido,,,#VemPraRua #ProtestoAnimal,"3,52E+17",https://twitter.com/vandersonmaia/status/351516799671607298,,,,,,,,
25291,7/7/13 1:59,Binho_Metal,,0,0,0,Seria vÃ¡lido corelacionar o #passelivre e o primeiro emprego dos estudantes? #BrasilSemRumo,Negativo,,,#passelivre #BrasilSemRumo,"3,54E+17",https://twitter.com/Binho_Metal/status/353694615511113730,,,,,,,,
25636,7/6/13 20:09,BetoCCruz,,0,0,0,#acordabrasil http://mob.li/_egQRm,Indefinido,,,#acordabrasil,"3,54E+17",https://twitter.com/BetoCCruz/status/353606704161763329,,,,,,,,
50248,7/12/13 15:04,RuanEmmanuell,,0,2,0,Nem tudo Ã© o que parece. .. #ProtestoRJ,Negativo,,,#ProtestoRJ,"3,56E+17",https://twitter.com/RuanEmmanuell/status/355704328062906370,,,,,,,,
4271,7/25/13 1:30,e_ditora,,0,1,0,TODA AÃ§Ã£o tem uma reaÃ§Ã£o. Ã© lei de fÃ­sica. NÃ£o dÃ¡ pra fugir nem mudando de GalÃ¡xia. #ChangeBrasil #VemPraRUA... http://fb.me/1FZHj0YBX,Negativo,,,#ChangeBrasil #VemPraRUA,"3,60E+17",https://twitter.com/e_ditora/status/360210301511155712,,,,,,,,
57137,7/2/13 12:43,JORGEIT,,0,0,0,O Futebol acabou agora vamos pensar na prÃ³xima batalha! #NÃ£o queremos #Plebiscito Queremos #Sim um #ForaDilma. E os #Mensaleiros na #Cadeia,Negativo,,,#NÃ£o #Plebiscito #Sim #ForaDilma #Mensaleiros #Cadeia,"3,52E+17",https://twitter.com/JORGEIT/status/352044975783030784,,,,,,,,
26563,7/6/13 0:54,leituraeduc,,0,0,0,MilhÃµes sonegados pela Globo poderiam ser canalizados para a SaÃºde e EducaÃ§Ã£o #ogiganteacordou http://portugueseindependentnews.com/milhoes-sonegados-pela-globo-poderiam-ser-canalizados-para-a-saude-e-educacao/ â€¦,Negativo,,,#ogiganteacordou,"3,53E+17",https://twitter.com/leituraeduc/status/353315904676839424,,,,,,,,
59675,7/9/13 3:33,IsabelaNBR,,0,0,0,Horas para eleger um presidente sem preconceitos na ComissÃ£o de Direitos Humanos da CÃ¢mara. #ForaFeliciano http://www.avaaz.org/po/petition/Imediata_destituicao_do_Pr_Marco_Feliciano_da_Presidencia_da_Comissao_de_Direitos_Humanos_da_Camara_Federal/?wrsiQeb â€¦,Negativo,,,#ForaFeliciano,"3,54E+17",https://twitter.com/IsabelaNBR/status/354443254088990721,,,,,,,,
41863,7/27/13 0:41,MarcelloLobatto,,0,3,0,#foradilma #foraPT http://instagram.com/p/cP-fyCnn9i/,Indefinido,,,#foradilma #foraPT,"3,61E+17",https://twitter.com/MarcelloLobatto/status/360922829744635905,,,,,,,,
53378,7/8/13 14:12,reminiscences,gsjnilson,0,1,0,@gsjnilson @solangesad Finalmente! AlguÃ©m para gritar: #foradilma !,Positivo,,@gsjnilson @solangesad,#foradilma,"3,54E+17",https://twitter.com/reminiscences/status/354241684374171649,,,,,,,,
47031,7/18/13 5:36,RF_Machado,RF_Machado,0,0,0,"@ihamma #GloboNews #ProtestoRJ Brasil, O povo antes ""gado"" parece ter acordado e se dado conta que na verdade sao patrÃµes dos polÃ­ticos em G",Positivo,,@ihamma,#GloboNews #ProtestoRJ,"3,58E+17",https://twitter.com/RF_Machado/status/357735484513984512,,,,,,,,
19593,7/11/13 0:53,J0seNildo,,0,1,0,"11/07 ManifestaÃ§Ã£o concentra professores, petroleiros, estudantes,aposentados, metalÃºrgicos,comerciÃ¡rios, enfermeiros.. #VemPraRua MossorÃ³",Positivo,,,#VemPraRua,"3,55E+17",https://twitter.com/J0seNildo/status/355127593219002370,,,,,,,,
9400,7/18/13 23:16,rmfabio,,0,0,0,@RadarCostaVerde #Afronta ao #EstadoDemocrÃ¡tico sÃ£o os absurdos q #Cabral nos faz engolir com seus privilÃ©gios d #imperador. #VemPraRua,Negativo,,@RadarCostaVerde,#Afronta #EstadoDemocrÃ¡tico #Cabral #imperador #VemPraRua,"3,58E+17",https://twitter.com/rmfabio/status/358002287567847424,,,,,,,,
57160,7/2/13 11:59,fabiojoakim,,0,0,0,#mudabrasil http://fb.me/1vcGOEJD5,Indefinido,,,#mudabrasil,"3,52E+17",https://twitter.com/fabiojoakim/status/352033812689076225,,,,,,,,
38179,7/1/13 9:48,NicoPontes4,,0,0,0,RT @ultimosegundo: Teste: qual o seu estilo de raiva? http://bit.ly/1aucLtB aquela que #vemprarua,Negativo,,@ultimosegundo,#vemprarua,"3,52E+17",https://twitter.com/NicoPontes4/status/351638472999710721,,,,,,,,
33370,7/2/13 23:10,hazzaoniall,,0,0,0,#vemprarua http://instagram.com/p/bSBASjIj-L/,Indefinido,,,#vemprarua,"3,52E+17",https://twitter.com/hazzaoniall/status/352202764442537984,,,,,,,,
10686,7/17/13 23:35,7rrf_Qlm,,1,19,1,Hoje sim eu vou gritar #OGiganteAcordou,Positivo,,,#OGiganteAcordou,"3,58E+17",https://twitter.com/7rrf_Qlm/status/357644757905842177,,,,,,,,
30655,7/4/13 0:04,VemPraTmdSports,,0,0,0,#VemPraRua foraaaaaaaaaaaaa baquit,Negativo,,,#VemPraRua,"3,53E+17",https://twitter.com/VemPraTmdSports/status/352578616762179584,,,,,,,,
12289,7/16/13 11:54,NicoPontes4,,0,0,0,CONFIRAM o #passelivre aereo RT @radiobandnewsfm: O link para ver as informaÃ§Ãµes dos voos da FAB estÃ¡ no nosso site http://bandnewsfm.com.br,Indefinido,,@radiobandnewsfm,#passelivre,"3,57E+17",https://twitter.com/NicoPontes4/status/357105855440760832,,,,,,,,
49380,7/14/13 23:47,Ricardohuckk,,0,0,0,"isso Ã© o brasil!! Q os hospitais Ã± sabem mas diferenciar uma lesÃ£o...puta merda, #mudabrasil. http://fb.me/2N6s0C2g6",Negativo,,,#mudabrasil,"3,57E+17",https://twitter.com/Ricardohuckk/status/356560617609498624,,,,,,,,
57059,7/2/13 14:23,abreumartha,AryAntiPT,0,4,0,"@Arykara2 @Tom_brz Ã‘ sÃ£o mÃ©dicos, sÃ£o guerrilheiros treinados saÃ­dos do MST que virÃ£o doutrinar a populaÃ§Ã£o carente. #forapt #foradilma",Negativo,,@Arykara2 @Tom_brz,#forapt #foradilma,"3,52E+17",https://twitter.com/abreumartha/status/352070059067310080,,,,,,,,
54117,7/6/13 1:18,thiagotudela,,0,0,0,#brazil #saiprarua #foradilma http://instagram.com/p/bZ-ANgzSha/,Indefinido,,,#brazil #saiprarua #foradilma,"3,53E+17",https://twitter.com/thiagotudela/status/353322019816873984,,,,,,,,
19823,7/10/13 22:51,blindpunch,luuluan,1,0,0,@luuluan @xkarenzinhax VC Ã‰ MO TROXA!!! A KAREN TA TE ODIANDO E EU TO AJUDANDO ELA A ODIAR!! SHUAUSHSAUHUSH #VEMPRARUA,Negativo,,@luuluan @xkarenzinhax,#VEMPRARUA,"3,55E+17",https://twitter.com/blindpunch/status/355096869019455489,,,,,,,,
